Name,Description,Feature 1,Feature 2,Feature 3,Key Ingredients
FizzWhizz Berry Blast,"Dive into a sparkling explosion of berry flavors with FizzWhizz Berry Blast! Each bite releases a fizzy sensation that dances on your tongue, combining the sweet and tart tastes of fresh berries. It's a thrilling treat that brings a burst of joy with every piece.",Exciting fizzy sensation,Blend of sweet and tart berry flavors,Perfectly bite-sized candies,Sugar, citric acid, berry flavoring, sodium bicarbonate
ChocoLava Peanut Crunch,"Experience the eruption of creamy chocolate and crunchy peanuts in ChocoLava Peanut Crunch. This candy features a molten chocolate core enveloped in a crispy peanut shell, creating a rich texture and decadent taste. Ideal for those who love a nutty twist to their chocolate indulgence.",Creamy molten chocolate core,Crispy peanut outer shell,Rich and decadent flavor profile,Chocolate, peanuts, sugar, cocoa butter
Mystic Mint Swirls,"Refresh your senses with the cool embrace of Mystic Mint Swirls. These elegantly twisted candies combine a soothing mint flavor with a hint of vanilla, offering a smooth, velvety finish. Perfect for an after-dinner treat or a midday breath freshener.",Soothing mint flavor,Hint of vanilla for smoothness,Elegantly twisted design,Sugar, natural mint flavor, vanilla extract
Gummy Galaxy Stars,"Take a trip through the cosmos with Gummy Galaxy Stars, where each gummy is a portal to a fruity universe! These star-shaped delights are made with real fruit juice, offering an authentic taste of the galaxy in assorted flavors like raspberry, orange, and grape.",Star-shaped gummies,Made with real fruit juice,Assorted fruity flavors,Fruit juice, gelatin, sugar, natural flavors
Caramel Cove Treasures,"Uncover the rich secrets of Caramel Cove Treasures, where smooth, golden caramel is hidden within a delicate chocolate shell. Each piece is a discovery of sweet, buttery bliss that melts irresistibly in your mouth.",Smooth, golden caramel center,Delicate chocolate shell,Melts irresistibly in your mouth,Sugar, cocoa butter, milk, caramel
Sour Spirit Rings,"Pucker up for a tangy adventure with Sour Spirit Rings! These vibrant, circular candies offer a zesty punch of sour flavor followed by a sweet, sugary finish. They're the perfect mix of shock and delight in every chew.",Intense sour flavor,Sweet, sugary finish,Vibrant, circular design,Sugar, citric acid, artificial flavors
Velvet Vanilla Bean Fudge,"Indulge in the luxurious smoothness of Velvet Vanilla Bean Fudge. This creamy confection is infused with real vanilla beans, offering a rich and sophisticated flavor that's a step above the rest. It's a slice of heaven in every bite!",Infused with real vanilla beans,Luxuriously smooth texture,Rich and sophisticated flavor,Sugar, milk, vanilla beans
Rainbow Chew Delights,"Celebrate a spectrum of flavor with Rainbow Chew Delights! These colorful, chewy candies are fun to eat and packed with fruity flavors that explode in your mouth. It's a carnival of taste that will keep you coming back for more.",Colorful and fun to eat,Chewy texture,Packed with fruity flavors,Sugar, corn syrup, artificial flavors
Espresso Buzz Beans,"Wake up your taste buds with the bold flavor of Espresso Buzz Beans. These coffee-infused chocolate candies are perfect for coffee lovers, offering a rich espresso kick in a smooth chocolate coating. It's your coffee break in a bite!",Coffee-infused chocolate,Rich espresso flavor,Smooth chocolate coating,Chocolate, coffee, sugar, cocoa butter
Lemon Lush Drops,"Experience the zing of Lemon Lush Drops, where each candy is a splash of citrus sunshine. These hard candies are bursting with natural lemon flavor, providing a refreshing and invigorating treat that's both tangy and sweet.",Bursting with natural lemon flavor,Refreshing and invigorating treat,Perfect balance of tangy and sweet,Sugar, natural lemon flavor, citric acid
Twinkle Toes Taffy,"Step into a world of whimsy with Twinkle Toes Taffy! This soft, stretchy taffy comes in a dazzling array of colors and flavors, making each chew a magical experience.",Soft and stretchy texture,Dazzling array of colors,Flavorful and fun,Sugar, corn syrup, artificial flavors, food coloring
Peach Paradise Poppers,"Bask in the bliss of Peach Paradise Poppers, where juicy peach flavor meets a pop of candy crunch. These delightful spheres are your ticket to a fruity escape.",Juicy peach flavor,Candy crunch,Delightful spherical shape,Sugar, artificial flavors, citric acid
Cinnamon Spark Sticks,"Ignite your senses with Cinnamon Spark Sticks. These fiery red sticks pack a warm cinnamon punch that's bold and invigorating, perfect for a quick spice fix.",Bold cinnamon flavor,Fiery red appearance,Invigorating taste,Sugar, natural cinnamon flavor, red food coloring
Honeycomb Harmony Bites,"Savor the sweet symphony of Honeycomb Harmony Bites. These crunchy candies are filled with real honeycomb pieces, enveloped in smooth milk chocolate.",Crunchy honeycomb pieces,Smooth milk chocolate coating,Sweet and satisfying,Sugar, honeycomb, milk chocolate
Berry Blizzard Balls,"Get swept away by the frosty thrill of Berry Blizzard Balls! These hard candies deliver a cool berry blast that's refreshingly icy and sweet.",Cool berry flavor,Icy sensation,Hard candy form,Sugar, natural and artificial flavors, blue food coloring
Tropical Twist Tangles,"Unravel the flavors of the tropics with Tropical Twist Tangles. These gummy candies are intertwined with flavors of mango, pineapple, and coconut, creating a chewy island adventure.",Intertwined gummy strands,Flavors of mango, pineapple, and coconut,Chewy and adventurous,Gelatin, sugar, natural and artificial flavors
Pistachio Puff Pastries,"Indulge in the delicate delight of Pistachio Puff Pastries. These light, flaky pastries are filled with a sweet pistachio cream that melts in your mouth.",Light and flaky pastry,Sweet pistachio cream filling,Delicate and delightful,Wheat flour, sugar, pistachios, butter
Sparkling Citrus Slices,"Refresh with the effervescent zest of Sparkling Citrus Slices. These gummy slices are coated in sugar crystals and burst with lime, lemon, and orange flavors.",Sugar-coated gummy slices,Bursting with citrus flavors,Effervescent zest,Gelatin, sugar, natural citrus flavors
Almond Affection Almond,"Fall in love with the rich, nutty flavor of Almond Affection Almonds. These chocolate-covered almonds are dusted with cocoa for an extra touch of chocolate bliss.",Chocolate-covered almonds,Cocoa dusted,Rich and nutty flavor,Almonds, chocolate, cocoa powder
Peppermint Polar Pucks,"Cool down with Peppermint Polar Pucks, the minty medallions that deliver a blast of icy peppermint encased in a dark chocolate shell.",Icy peppermint flavor,Dark chocolate shell,Minty medallions,Sugar, peppermint oil, dark chocolate
Strawberry Swirl Sensations,"Twirl into sweetness with Strawberry Swirl Sensations! These lollipop wonders feature a mesmerizing swirl of strawberry and cream, offering a beautiful and tasty treat.",Mesmerizing strawberry and cream swirl,Beautiful lollipop design,Tasty and sweet,Sugar, artificial flavors, cream
Cocoa Comet Crunch,"Blast off with Cocoa Comet Crunch, the chocolate balls with a heart of crispy rice that rockets you to a universe of taste.",Chocolate outer layer,Crispy rice heart,Universe of taste,Chocolate, crispy rice
Licorice Ladders,"Climb the flavors of Licorice Ladders, the long, flexible strands of rich black licorice that offer a classic taste with a playful twist.",Long flexible strands,Classic black licorice flavor,Playful and tasty,Sugar, licorice extract, food coloring
Marshmallow Moon Rocks,"Float away with Marshmallow Moon Rocks, the soft, squishy marshmallows dusted with a layer of crystalline sugar, mimicking the surface of the moon.",Soft and squishy texture,Crystalline sugar dusting,Moon-like appearance,Sugar, gelatin, corn syrup
Jelly Jewel Jars,"Discover the treasure of Jelly Jewel Jars, where each jar is filled with assorted jelly candies that shine like precious gems.",Assorted jelly candies,Shine like precious gems,Treasure-filled jars,Sugar, gelatin, natural and artificial flavors
Caramel Carousel,"Ride the sweet waves of Caramel Carousel, the spiraled caramel sticks that offer a creamy, chewy journey with every twist.",Spiraled caramel sticks,Creamy and chewy texture,Sweet and delightful,Sugar, milk, butter
Butterscotch Buttons,"Button up your candy desires with Butterscotch Buttons, the smooth, hard candies that deliver a burst of creamy butterscotch flavor.",Smooth hard candy,Creamy butterscotch flavor,Delightful and classic,Sugar, artificial butterscotch flavoring
Watermelon Whirlwinds,"Get caught in the gust of Watermelon Whirlwinds, the gummy candies that swirl watermelon and melon flavors into a whirlwind of taste.",Swirled gummy candies,Watermelon and melon flavors,Taste whirlwind,Gelatin, sugar, natural and artificial flavors
Pineapple Paradise Chews,"Escape to a tropical paradise with Pineapple Paradise Chews, the soft, chewy candies bursting with bold pineapple flavor.",Soft and chewy texture,Bursting with pineapple flavor,Tropical escape,Sugar, artificial pineapple flavor
Zesty Lemon Zingers,"Zap your palate with Zesty Lemon Zingers, the sour lemon candies that offer a zesty punch and a sweet, sugary finish.",Sour lemon flavor,Zesty punch,Sweet finish,Sugar, citric acid, natural lemon flavor